id_orden,fecha_ingreso,fecha_entrega,cliente,servicio,vehiculo,estado,horas_trabajo,precio_hora,monto_total,mecanico_1,horas_1,mecanico_2,horas_2,mecanico_3,horas_3
OT-023,2024-04-19,2024-04-24,Alma Fernandez,Chapa y pintura,Corolla Cross,Cobrado,30.0,45,1842.82,Martina Diaz,29.5,Alma Valentina Gonzalez,16.0,,
OT-024,2024-05-19,2024-05-20,Luciana Quiroga,Lavado premium,Ranger,Cobrado,2.5,18,51.29,Alma Valentina Gonzalez,2.5,,,,
OT-025,2024-05-16,2024-05-19,Francisco Gomez,Mecánica general,Corolla Cross,Cobrado,7.5,40,419.11,Delfina Gimenez,6.5,Delfina Nuñez,7.5,,
OT-026,2024-05-10,2024-05-12,Mateo Benjamin Valdez,Detailing completo,Tracker,Cobrado,4.5,30,161.06,Delfina Nuñez,3.0,Alma Valentina Gonzalez,3.0,,
OT-027,2024-05-23,2024-06-03,Alma Mia Rodriguez,Chapa y pintura,Fiesta,Cobrado,27.5,45,1678.29,Delfina Gimenez,27.5,,,,
OT-028,2024-05-09,2024-05-10,Tomas Fernandez,Mecánica general,Hilux,Cobrado,2.0,40,108.73,Delfina Gimenez,1.0,Delfina Nuñez,1.0,,
OT-029,2024-05-09,2024-05-10,Milena Rios,Alineación y balanceo,Gol Trend,Cobrado,2.0,38,76.77,Delfina Nuñez,2.0,,,,
OT-030,2024-05-07,2024-05-15,Maximiliano Romero,Chapa y pintura,Cronos,Facturado esperando cobro,18.0,45,1131.54,Delfina Nuñez,10.5,Delfina Gimenez,10.5,Alma Valentina Gonzalez,16.5
OT-031,2024-06-21,2024-06-26,Milena Rios,Mecánica general,Amarok,Cobrado,"7,0",40,381.15,Alma Valentina Gonzalez,4.5,Lara Molina,6.0,Delfina Nuñez,4.5
OT-032,2024-06-01,2024-06-10,Luciana Quiroga,Chapa y pintura,Gol Trend,Cobrado,26.0,45,1707.4,Martina Diaz,16.5,Delfina Gimenez,18.5,,
OT-033,2024-06-04,2024-06-15,Thiago Benjamin Maidana,Chapa y pintura,Yaris,Cobrado,16.5,45,1024.11,Martina Diaz,9.0,Delfina Nuñez,8.5,,
OT-034,2024-07-19,2024-07-22,Bautista Martinez,Detailing completo,Etios,Cobrado,5.0,30,183.84,Delfina Gimenez,4.0,Martina Diaz,3.0,Delfina Nuñez,4.0
OT-035,2024-07-28,2024-07-29,Alma Fernandez,Detailing completo,208,Cobrado,6.0,30,201.39,Alma Valentina Gonzalez,6.0,,,,
OT-036,2024-07-08,2024-07-09,Maximiliano Romero,Mecánica general,Sandero,Cobrado,4.0,40,222.34,Delfina Nuñez,2.0,Lara Molina,3.0,Delfina Gimenez,2.0
OT-037,2024-07-30,2024-07-31,Luciana Quiroga,Alineación y balanceo,Amarok,Trabajo realizado,1.5,38,64.61,Lara Molina,1.5,,,,
OT-038,2024-07-03,2024-07-04,Juan Manuel Torres,Diagnóstico electrónico,Gol Trend,Facturado esperando cobro,1.5,50,80.79,Alma Valentina Gonzalez,1.0,Martina Diaz,1.0,,
OT-039,2024-08-21,2024-08-21,Valentina Jazmin Ramos,Lavado premium,Gol Trend,Cobrado,1.0,18,21.04,Martina Diaz,1.0,,,,
OT-040,2024-08-25,,Micaela Ojeda,Mecánica general,Cronos,Cancelado,9.5,40,513.46,,,,,,
OT-041,2024-08-31,2024-09-03,Micaela Ojeda,Mecánica general,Duster,Cobrado,7.5,40,413.94,Martina Diaz,7.5,,,,
OT-042,2024-08-10,2024-08-10,Juan Sebastian Godoy,Lavado premium,Ranger,Cobrado,1.5,18,29.04,Delfina Nuñez,1.5,,,,
OT-043,2024-08-31,2024-09-01,Juan Francisco Lopez,Alineación y balanceo,Etios,Cobrado,1.5,38,57.27,Martina Diaz,1.0,Alma Valentina Gonzalez,1.0,,
OT-044,2024-09-28,2024-09-29,Juan Manuel Torres,Cambio de aceite,Amarok,Cobrado,1.0,35,,Lara Molina,1.0,,,,
OT-045,2024-09-29,,Catalina Gomez,Chapa y pintura,Tracker,Presupuesto enviado,16.0,45,1031.65,,,,,,
OT-046,2024-09-14,2024-09-15,Gino Toledo,Lavado premium,Sandero,Cobrado,2.0,18,42.59,Alma Valentina Gonzalez,2.0,,,,
OT-047,2024-09-29,2024-09-30,Santino Garcia,Cambio de aceite,Onix,Cobrado,0.5,35,35.09,Lara Molina,0.5,Delfina Nuñez,0.5,,
OT-048,2024-10-04,2024-10-05,Thiago Leonel Juarez,Mecánica general,Ranger,Facturado esperando cobro,8.5,40,453.02,Alma Valentina Gonzalez,8.5,,,,
OT-049,2024-10-16,2024-10-19,Olivia Molina,Mecánica general,Sandero,Cobrado,3.5,40,195.97,Delfina Nuñez,3.5,,,,
OT-050,2024-10-30,2024-11-02,Mateo Benjamin Valdez,Mecánica general,Amarok,Cobrado,3.0,40,157.87,Lara Molina,3.0,Delfina Nuñez,1.5,Delfina Gimenez,2.5
OT-051,2024-10-28,2024-10-29,Lara Cabrera,Alineación y balanceo,Kicks,Cobrado,1.5,38,57.14,Alma Valentina Gonzalez,1.5,Delfina Nuñez,1.0,,
OT-052,2024-10-13,,Luciana Quiroga,Alineación y balanceo,Corolla Cross,Cancelado,2.0,38,77.03,,,,,,
OT-053,2024-10-30,2024-10-30,Milena Rios,Alineación y balanceo,Sandero,Cobrado,2.0,38,81.7,Lara Molina,2.0,,,,
OT-054,2024-11-09,2024-11-09,Luciana Quiroga,Diagnóstico electrónico,208,Cobrado,1.5,50,80.65,Delfina Nuñez,1.5,Lara Molina,1.5,,
OT-055,2024-11-19,2024-11-19,Catalina Benitez,Diagnóstico electrónico,Amarok,Facturado esperando cobro,2.0,50,102.07,Alma Valentina Gonzalez,1.5,Delfina Nuñez,1.5,,
OT-056,2024-11-06,2024-11-08,Francisco Garcia,Detailing completo,Amarok,Cobrado,4.5,30,163.23,Delfina Gimenez,2.5,Delfina Nuñez,2.5,,
OT-057,2024-11-25,2024-11-25,Maximiliano Romero,Diagnóstico electrónico,Gol Trend,Cobrado,3.0,50,161.56,Delfina Gimenez,3.0,,,,
OT-058,2024-11-05,2024-11-05,Thiago Lionel Sanchez,Lavado premium,Sandero,Cobrado,2.5,18,50.48,Delfina Gimenez,2.5,Alma Valentina Gonzalez,2.5,,
OT-059,2024-11-04,2024-11-05,Olivia Molina,Detailing completo,Tracker,Cobrado,6.0,30,222.1,Lara Molina,4.0,Delfina Nuñez,5.0,,
OT-060,2024-12-06,2024-12-09,Nicolas Rodriguez,Mecánica general,Ranger,Cobrado,8.0,40,419.88,Delfina Gimenez,8.0,,,,
OT-061,2024-12-17,2024-12-19,Santino Garcia,Pulido y encerado,Taos,Cobrado,4.5,28,152.31,Lara Molina,4.5,,,,
OT-062,2024-12-23,2024-12-24,Juan Bautista Roldan,Lavado premium,Corolla Cross,Cobrado,2.0,18,37.88,Alma Valentina Gonzalez,1.0,Martina Diaz,2.0,,
OT-063,2024-12-24,2024-12-28,Ambar Ruiz,Mecánica general,Tracker,Cobrado,7.0,40,401.18,Martina Diaz,7.0,Delfina Nuñez,5.0,,
OT-064,2024-12-20,2024-12-23,Maximiliano Romero,Detailing completo,Cronos,Cobrado,7.5,30,261.28,Delfina Nuñez,7.5,,,,
OT-065,2024-12-12,2024-12-13,luciana quiroga  ,Lavado premium,Hilux,Facturado esperando cobro,2.5,18,48.78,Alma Valentina Gonzalez,2.5,,,,
OT-066,2024-12-13,2024-12-13,Bautista Alvarez,Lavado premium,Etios,Cobrado,2.5,18,51.92,Delfina Gimenez,2.5,,,,
OT-067,2024-12-25,2024-12-26,Joaquin Ojeda,Pulido y encerado,Etios,Cobrado,4.0,28,121.24,Delfina Nuñez,4.0,,,,
OT-068,2025-01-08,2025-01-11,Bautista Coronel,Detailing completo,Onix,Facturado esperando cobro,8.0,30,278.28,Martina Diaz,8.0,,,,
OT-069,2025-01-08,2025-01-08,Micaela Ojeda,Lavado premium,Amarok,Cobrado,1.5,18,31.12,Martina Diaz,1.5,,,,
OT-070,2025-01-22,2025-01-23,Valentina Blanco,Detailing completo,Kicks,Cobrado,5.0,30,180.99,Martina Diaz,5.0,Delfina Gimenez,4.0,,
OT-071,2025-01-26,2025-02-07,Luciana Quiroga,Chapa y pintura,Gol Trend,Facturado esperando cobro,18.0,45,1089.26,Lara Molina,14.0,Martina Diaz,14.0,,
OT-072,2025-02-28,2025-02-28,Mateo Agustin Martinez,Alineación y balanceo,208,Cobrado,2.0,38,84.61,Delfina Gimenez,1.5,Delfina Nuñez,1.5,,
OT-073,2025-02-18,2025-02-19,Alma Fernandez,Cambio de aceite,Amarok,Cobrado,1.0,35,65.74,Delfina Gimenez,1.0,,,,
OT-074,1925-02-22,2025-02-23,Alma Fernandez,Diagnóstico electrónico,Amarok,Trabajo realizado,2.5,50,121.87,Alma Valentina Gonzalez,2.5,,,,
OT-075,2025-02-22,2025-02-22,Catalina Gomez,Alineación y balanceo,Tracker,Cobrado,2.0,38,78.25,Alma Valentina Gonzalez,2.0,,,,
OT-076,2025-02-28,2025-03-01,Olivia Molina,Pulido y encerado,Ranger,Cobrado,5.5,28,181.16,Alma Valentina Gonzalez,5.5,,,,
OT-077,2025-02-17,,Thiago Benjamin Maidana,Lavado premium,Gol Trend,Cancelado,1.0,18,19.35,,,,,,
OT-078,2025-02-22,2025-02-26,Maximiliano Romero,Chapa y pintura,Yaris,Cobrado,24.5,45,"$ 1.540,88",Lara Molina,23.0,Delfina Gimenez,20.0,,
OT-079,2025-02-04,2025-02-05,Catalina Gomez,Cambio de aceite,Duster,Cobrado,1.0,35,71.16,Delfina Nuñez,1.0,,,,
OT-080,2025-02-12,2025-02-12,Thiago Leonel Juarez,Lavado premium,Amarok,Cobrado,1.5,18,30.01,Delfina Nuñez,1.0,Lara Molina,1.0,,
OT-081,2025-02-08,,Sofia Sanchez,Detailing completo,Yaris,Cancelado,6.0,30,202.7,,,,,,
OT-082,2025-03-08,2025-03-09,Maximiliano Romero,Mecánica general,Kicks,Cobrado,7.0,40,397.57,Delfina Nuñez,4.5,Martina Diaz,3.5,,
OT-083,2025-03-17,2025-03-17,Paulina Rojas,Alineación y balanceo,Yaris,Cobrado,2.0,38,77.14,Alma Valentina Gonzalez,2.0,,,,
OT-084,2025-03-02,2025-03-07,Facundo Moyano,Mecánica general,Cronos,Cobrado,8.0,40,456.48,Martina Diaz,8.0,,,,
OT-085,2025-03-10,2025-03-12,Santiago Benjamin Pereyra,Detailing completo,Duster,Cobrado,7.0,30,241.83,Alma Valentina Gonzalez,7.0,,,,
OT-086,2025-03-09,2025-03-19,Facundo Flores,Chapa y pintura,Corolla Cross,Cobrado,12.0,45,796.36,Alma Valentina Gonzalez,10.0,Lara Molina,9.0,Delfina Gimenez,12.0
OT-087,2025-03-19,,Olivia Molina,Lavado premium,Territory,Presupuesto enviado,1.5,18,31.26,,,,,,
OT-088,2025-03-15,2025-03-17,Josefina Perez,Diagnóstico electrónico,Tracker,Cobrado,2.5,50,124.22,Alma Valentina Gonzalez,1.5,Lara Molina,2.0,,
OT-089,2025-03-19,2025-03-19,Luciana Quiroga,Cambio de aceite,Etios,Cobrado,1.0,35,70.65,Alma Valentina Gonzalez,1.0,Martina Diaz,0.5,,
OT-090,2025-03-07,,Paulina Rojas,Alineación y balanceo,Ranger,Presupuesto enviado,1.0,38,40.66,,,,,,
OT-091,2025-03-25,2025-03-26,Ambar Ruiz,Detailing completo,Kicks,Cobrado,9.0,30,323.63,Delfina Gimenez,6.5,Lara Molina,7.5,,
OT-092,2025-04-01,2025-04-02,Alma Fernandez,Lavado premium,Onix,Trabajo realizado,1.5,18,30.45,Delfina Nuñez,1.0,Alma Valentina Gonzalez,1.0,,
OT-093,2025-04-04,2025-04-04,Luciana Quiroga,Lavado premium,Corolla Cross,Cobrado,1.0,18,,Delfina Gimenez,1.0,Delfina Nuñez,1.0,,
OT-094,2025-04-10,2025-04-11,Mateo Benjamin Valdez,Alineación y balanceo,Yaris,Cobrado,1.5,38,60.34,Lara Molina,1.5,,,,
OT-095,2025-04-24,2025-04-30,Micaela Ojeda,Chapa y pintura,Duster,Cobrado,13.5,45,901.08,Lara Molina,9.0,Delfina Nuñez,8.0,Delfina Gimenez,11.5
OT-096,2025-04-04,2025-04-04,Thiago Lionel Sanchez,Alineación y balanceo,Territory,Cobrado,"1,5",38,61.17,Delfina Nuñez,1.5,,,,
OT-097,2025-05-11,2025-05-12,Francisco Garcia,Lavado premium,Corolla Cross,Cobrado,2.0,18,38.0,Lara Molina,2.0,,,,
OT-098,2025-06-10,2025-06-12,Joaquin Ojeda,Detailing completo,Corolla Cross,Facturado esperando cobro,5.0,30,182.48,Lara Molina,4.0,Delfina Nuñez,5.0,,
OT-099,2025-06-29,2025-06-30,Thiago Diaz,Cambio de aceite,208,Cobrado,1.0,35,63.8,Alma Valentina Gonzalez,0.5,Martina Diaz,1.0,,
OT-100,2025-06-18,2025-06-19,Federico Gonzalez,Mecánica general,Kicks,Cobrado,3.0,40,153.91,Alma Valentina Gonzalez,2.5,Delfina Nuñez,1.5,,
OT-101,2025-06-30,2025-06-30,Morena Jazmin Silva,Diagnóstico electrónico,Onix,Cobrado,1.5,50,77.51,Delfina Nuñez,1.5,,,,
OT-102,2025-06-29,2025-06-30,Maximiliano Romero,Alineación y balanceo,Ranger,Facturado esperando cobro,2.0,38,86.17,Martina Diaz,2.0,,,,
OT-103,2025-06-20,,Uma  Medina,Pulido y encerado,Gol Trend,Cancelado,6.0,28,191.64,,,,,,
OT-104,2025-07-13,2025-07-14,Thiago Leonel Juarez,Alineación y balanceo,Fiesta,Cobrado,1.5,38,63.34,Martina Diaz,1.5,Lara Molina,1.5,,
OT-105,2025-07-02,2025-07-03,Ambar Ruiz,Pulido y encerado,Territory,Cobrado,4.5,28,143.34,Alma Valentina Gonzalez,3.0,Martina Diaz,2.5,,
OT-106,2025-07-17,2025-07-20,Mateo Alvarez,Detailing completo,Amarok,Cobrado,5.0,30,180.9,Delfina Gimenez,5.0,,,,
OT-107,2025-07-08,2025-07-10,Lautaro Benjamin Castillo,Detailing completo,Sandero,Cobrado,4.5,30,"$ 148,60",Alma Valentina Gonzalez,3.5,Delfina Gimenez,3.5,,
OT-108,2025-08-12,2025-08-13,Alma Fernandez,Mecánica general,Cronos,Facturado esperando cobro,9.0,40,462.4,Alma Valentina Gonzalez,5.5,Delfina Nuñez,7.5,,
OT-109,2025-08-07,,Santino Garcia,Chapa y pintura,Cronos,Cancelado,19.0,45,1183.88,,,,,,
OT-110,2025-08-23,2025-08-25,Luciana Quiroga,Mecánica general,Tracker,Cobrado,5.0,40,281.47,Martina Diaz,4.5,Alma Valentina Gonzalez,4.5,,
OT-111,2025-08-02,2025-08-06,Luciana Quiroga,Chapa y pintura,Etios,Cobrado,21.5,45,1330.02,Alma Valentina Gonzalez,12.5,Delfina Gimenez,19.5,,
OT-112,2025-08-14,,Lola Rodriguez,Diagnóstico electrónico,Amarok,Cancelado,1.0,50,53.51,,,,,,
OT-113,2025-08-28,,Joaquin Ojeda,Lavado premium,Ranger,Cancelado,2.5,18,53.27,,,,,,
OT-114,2025-08-03,2025-08-04,Juan Sebastian Godoy,Lavado premium,Taos,Cobrado,2.0,18,39.77,Delfina Gimenez,2.0,,,,
OT-115,2025-09-22,,Micaela Ojeda,Lavado premium,Ranger,Presupuesto enviado,1.5,18,30.18,,,,,,
OT-116,2025-09-04,2025-09-06,Bautista Martinez,Diagnóstico electrónico,Cronos,Cobrado,1.5,50,73.39,Delfina Gimenez,1.5,Delfina Nuñez,1.0,,
OT-117,2025-09-24,2025-09-24,Santino Morales,Alineación y balanceo,Cronos,Cobrado,2.0,38,78.49,Alma Valentina Gonzalez,2.0,,,,
OT-118,2025-09-21,2025-09-22,Thiago Lionel Perez,Lavado premium,Yaris,Cobrado,1.0,18,20.03,Martina Diaz,1.0,,,,
OT-119,2025-10-23,,Thiago Benjamin Martinez,Alineación y balanceo,Taos,Presupuesto enviado,1.5,38,64.27,,,,,,
OT-120,2025-10-11,2025-10-12,Catalina Gonzalez,Lavado premium,Yaris,Cobrado,1.0,18,19.2,Delfina Gimenez,1.0,,,,
OT-121,2025-10-07,2025-10-07,Luciana   Quiroga,Lavado premium,208,Cobrado,2.0,18,39.06,Delfina Nuñez,2.0,,,,
OT-122,2025-10-24,2025-10-24,Milena Rios,Cambio de aceite,Sandero,Cobrado,0.5,35,33.56,Alma Valentina Gonzalez,0.5,,,,
OT-123,2025-10-07,2025-10-10,Morena Jazmin Silva,Mecánica general,Ranger,Cobrado,6.0,40,322.32,Delfina Gimenez,3.0,Alma Valentina Gonzalez,5.0,,
OT-124,2025-10-29,2025-11-04,Juan Bautista Roldan,Chapa y pintura,Ranger,Facturado esperando cobro,22.0,45,1484.12,Delfina Gimenez,12.5,Alma Valentina Gonzalez,14.5,,
OT-125,2025-11-06,2025-11-06,Santino Garcia,Diagnóstico electrónico,Yaris,Cobrado,2.5,50,124.01,Alma Valentina Gonzalez,2.5,,,,
OT-126,2025-11-07,,Luciana Quiroga,Lavado premium,Corolla Cross,Cancelado,1.5,18,30.16,,,,,,
OT-127,2025-11-01,2025-11-03,Thiago Diaz,Pulido y encerado,Ranger,Cobrado,6.0,28,185.08,Alma Valentina Gonzalez,6.0,,,,
OT-128,2025-11-13,2025-11-16,Alma Fernandez,Detailing completo,Ranger,Cobrado,6.5,30,241.51,Martina Diaz,6.5,,,,
OT-129,2025-11-17,2025-11-18,Catalina Gomez,Pulido y encerado,Taos,Cobrado,3.5,28,113.9,Martina Diaz,3.5,,,,
OT-130,2025-11-14,2025-11-14,Maximiliano Romero,Cambio de aceite,Corolla Cross,Cobrado,1.5,35,102.18,Alma Valentina Gonzalez,1.5,,,,
OT-131,2025-11-17,2025-11-17,Alma Fernandez,Lavado premium,Tracker,Cobrado,1.5,18,31.1,Delfina Nuñez,1.5,Martina Diaz,1.5,,
OT-132,2025-11-15,2025-11-16,Alma Fernandez,Diagnóstico electrónico,Territory,Cobrado,2.0,50,101.93,Delfina Nuñez,2.0,,,,
OT-133,2025-11-19,2025-11-19,Catalina Gomez,Alineación y balanceo,Etios,Cobrado,1.0,38,39.15,Delfina Gimenez,1.0,,,,
OT-134,2025-11-28,2025-11-28,Luciana Quiroga,Lavado premium,Cronos,Cobrado,1.5,18,29.48,Delfina Gimenez,1.5,,,,
OT-135,2025-11-18,,Micaela Ojeda,Cambio de aceite,Duster,Cancelado,1.0,35,67.77,,,,,,
OT-136,2025-11-03,,Ian Ezequiel Aguero,Chapa y pintura,Sandero,Presupuesto enviado,27.5,45,1743.7,,,,,,
OT-137,2025-12-24,,Juana Godoy,Cambio de aceite,Tracker,Cancelado,0.5,35,35.89,,,,,,
OT-138,2025-12-09,2025-12-10,Josefina Perez,Lavado premium,Taos,Cobrado,2.0,18,41.73,Alma Valentina Gonzalez,2.0,,,,
OT-139,2026-01-31,2026-01-31,Milena Rios,Lavado premium,Etios,Cobrado,1.5,18,29.24,Delfina Gimenez,1.5,Martina Diaz,1.0,,
OT-140,2026-01-23,2026-01-24,Alma Fernandez,Lavado premium,Sandero,Cobrado,1.5,18,30.16,Martina Diaz,1.5,,,,
OT-141,2026-01-15,2026-01-18,Lautaro Benjamin Vera,Detailing completo,Gol Trend,Cobrado,9.0,30,326.65,Alma Valentina Gonzalez,9.0,,,,
OT-142,2026-01-18,2026-01-19,Valentina Blanco,Detailing completo,Fiesta,Trabajo realizado,7.0,30,237.7,Delfina Gimenez,3.5,Martina Diaz,5.5,,
OT-143,2026-01-01,2026-01-01,Luciana Quiroga,Cambio de aceite,Kicks,Cobrado,1.0,35,68.91,Alma Valentina Gonzalez,1.0,,,,
OT-144,2026-01-09,2026-01-09,Alma Fernandez,Lavado premium,Ranger,Cobrado,2.0,18,39.9,Delfina Nuñez,2.0,Delfina Gimenez,1.5,,
OT-145,2026-01-29,2026-01-29,Micaela Ojeda,Alineación y balanceo,Tracker,Cobrado,2.0,38,85.64,Martina Diaz,2.0,,,,
OT-146,2026-02-09,,Luciana Quiroga,Pulido y encerado,Amarok,Presupuesto enviado,4.0,28,130.67,,,,,,
OT-147,2026-02-04,2026-02-05,Lola Rodriguez,Lavado premium,Fiesta,Cobrado,2.0,18,38.1,Alma Valentina Gonzalez,1.5,Lara Molina,1.5,,
OT-148,2026-02-14,2026-02-16,Olivia Molina,Mecánica general,Amarok,Cobrado,5.0,40,265.43,Delfina Gimenez,5.0,,,,
OT-149,2026-02-10,2026-02-10,Olivia Molina,Cambio de aceite,Onix,Cobrado,1.0,35,69.85,Lara Molina,1.0,Martina Diaz,1.0,,
OT-150,2026-02-20,2026-02-20,Luciana Quiroga,Lavado premium,Territory,Cobrado,2.5,18,49.97,Lara Molina,2.5,,,,
OT-151,2026-02-01,2026-02-02,Delfina Leiva,Cambio de aceite,Territory,Cobrado,"1,5",35,102.92,Delfina Nuñez,1.5,,,,
OT-152,2026-02-02,2026-02-02,Thiago Benjamin Martinez,Alineación y balanceo,Taos,Cobrado,1.0,38,42.37,Lara Molina,1.0,,,,
OT-153,2026-02-20,2026-02-23,Ian Ezequiel Aguero,Detailing completo,Hilux,Cobrado,4.5,30,165.41,Delfina Gimenez,4.5,,,,
OT-154,2026-02-05,2026-02-07,Luciana Quiroga,Diagnóstico electrónico,Hilux,Cobrado,1.5,50,74.17,Delfina Nuñez,1.5,,,,
OT-155,2026-02-27,,Santino Garcia,Lavado premium,Ranger,Cancelado,2.0,18,40.05,,,,,,
OT-156,2026-02-03,2026-02-04,Micaela Lopez,Pulido y encerado,Cronos,Cobrado,4.5,28,145.04,Alma Valentina Gonzalez,4.5,,,,
OT-157,2026-02-01,2026-02-02,Ian Ezequiel Aguero,Pulido y encerado,Etios,Cobrado,4.0,28,122.01,Alma Valentina Gonzalez,2.0,Martina Diaz,3.0,,
OT-158,2026-03-10,,Lautaro Benjamin Castillo,Lavado premium,Onix,Cancelado,1.5,18,28.98,,,,,,
OT-159,2026-03-26,2026-03-29,Federico Gonzalez,Mecánica general,Hilux,Cobrado,8.5,40,"$ 444,32",Alma Valentina Gonzalez,6.5,Lara Molina,4.5,,
OT-160,2026-03-22,2026-03-22,Luciana Quiroga,Lavado premium,Duster,Cobrado,1.5,18,31.01,Delfina Gimenez,1.0,Delfina Nuñez,1.0,,
OT-161,2026-03-23,2026-03-23,Santino Garcia,Alineación y balanceo,Corolla Cross,Cobrado,1.5,38,63.05,Alma Valentina Gonzalez,1.5,Lara Molina,1.0,,
OT-162,2026-03-04,2026-03-09,Morena Jazmin Silva,Mecánica general,Hilux,Cobrado,7.5,40,398.61,Alma Valentina Gonzalez,5.0,Martina Diaz,5.0,,
OT-163,2026-03-27,2026-03-29,Alma Fernandez,Detailing completo,Territory,Cobrado,8.5,30,301.54,Delfina Gimenez,5.0,Lara Molina,4.5,,
OT-164,2026-03-10,,Luciana Quiroga,Lavado premium,Ranger,Cancelado,1.0,18,20.74,,,,,,
OT-165,2026-04-11,2026-04-12,Mia Peralta,Cambio de aceite,Duster,Cobrado,0.5,35,,Martina Diaz,0.5,,,,
OT-166,2026-04-12,2026-04-13,Agustin Caceres,Lavado premium,Kicks,Cobrado,2.0,18,41.5,Alma Valentina Gonzalez,2.0,,,,
OT-167,2026-04-23,2026-04-25,Juan Pablo Cardozo,Mecánica general,Taos,Cobrado,9.5,40,532.83,Alma Valentina Gonzalez,5.5,Martina Diaz,6.0,,
OT-168,2026-04-05,,Ian Ezequiel Aguero,Mecánica general,Hilux,Cancelado,3.0,40,158.07,,,,,,
OT-169,2026-04-05,2026-04-06,Ambar Ruiz,Lavado premium,Onix,Cobrado,1.0,18,20.59,Delfina Nuñez,1.0,Alma Valentina Gonzalez,0.5,,
OT-170,2026-04-06,2026-04-07,Thiago Lionel Perez,Cambio de aceite,Kicks,Cobrado,1.0,35,66.95,Alma Valentina Gonzalez,1.0,,,,
OT-171,2026-04-21,2026-04-22,Milena Rios,Lavado premium,Etios,Cobrado,2.0,18,37.87,Lara Molina,2.0,,,,
OT-172,2026-05-20,2026-05-21,  LARA CABRERA,Cambio de aceite,Corolla Cross,Cobrado,1.5,35,102.86,Delfina Nuñez,1.5,,,,
OT-173,2026-05-27,,Valentina Jazmin Ramos,Detailing completo,Taos,Presupuesto enviado,7.5,30,248.85,,,,,,
